lat,long,a_x (m/s^2),a_y (m/s^2),a_z (m/s^2),wXsens(rad/s),wYsens(rad/s),wZsens(rad/s),lin_v_x(m/s),lin_v_y(m/s),n_FL(RPM),n_FR(RPM),n_RL(RPM),n_RR(RPM)
0,0,0.159999996,0.179999992,9.88999939,-0.002,0.00E+00,0.002,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.179999992,9.869999886,0,-0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.179999992,9.859999657,0,0,0,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.189999998,9.849999428,0.00E+00,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.189999998,0.170000002,9.840000153,0,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.170000002,0.219999999,9.829999924,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.170000002,0.219999999,9.849999428,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.179999992,9.789999962,0,0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.109999999,0.199999988,9.819999695,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.089999996,0.170000002,9.809999466,0.00E+00,-0.002,0.002,0,0,0,0,0,0
47.396,8.6481,0.079999998,0.159999996,9.869999886,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.119999997,0.170000002,9.819999695,-0.002,-0.001,0.002,0,0,1,0,0,0
47.396,8.6481,0.119999997,0.159999996,9.840000153,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.149999991,9.829999924,0,0,0,0,0,0,0.00E+00,0,0
47.396,8.6481,0.159999996,0.109999999,9.819999695,0.001,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.109999999,0.170000002,9.869999886,1.00E-03,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.159999996,9.819999695,-1.00E-03,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.189999998,9.869999886,0.00E+00,0,0.002,0,0,0,0,0,1
47.396,8.6481,0.089999996,0.149999991,9.88999939,0.00E+00,0,0.003,0,0,0,0,0,0
47.396,8.6481,0.179999992,0.179999992,9.840000153,0.00E+00,0.00E+00,0.003,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.219999999,9.809999466,0.00E+00,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.199999988,9.849999428,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.189999998,9.789999962,0.00E+00,0.00E+00,0.002,0,0,0,0,0,0
47.396,8.6481,0.109999999,0.179999992,9.88999939,0.00E+00,0.00E+00,0.003,0,0,0,0,0,0
47.396,8.6481,0.07,0.199999988,9.859999657,1.00E-03,0,0,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.219999999,9.819999695,0.00E+00,0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.119999997,0.170000002,9.859999657,0.00E+00,-0.002,0.001,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.229999989,9.809999466,0.00E+00,0.00E+00,0.002,0,0,0,0,0,0
47.396,8.6481,0.179999992,0.199999988,9.829999924,1.00E-03,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.199999988,9.840000153,1.00E-03,0,0,0,0,0,0,0,0
47.396,8.6481,0.170000002,0.189999998,9.809999466,0,-0.001,0.003,0,0,0,0,0,0
47.396,8.6481,0.170000002,0.170000002,9.840000153,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.089999996,0.170000002,9.779999733,0.00E+00,-0.001,0.001,0,0,0,1,0,0
47.396,8.6481,0.129999995,0.170000002,9.849999428,0.001,-0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.170000002,9.880000114,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.170000002,0.170000002,9.819999695,0.00E+00,-1.00E-03,0.002,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.209999993,9.869999886,0.00E+00,1.00E-03,0.001,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.179999992,9.829999924,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.199999988,9.849999428,0.001,-1.00E-03,0.001,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.140000001,9.859999657,-0.001,-1.00E-03,0.002,0,0,0,0,0.00E+00,0
47.396,8.6481,0.149999991,0.189999998,9.849999428,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.179999992,9.819999695,0.00E+00,1.00E-03,0.003,0,0,0,0,0,1
47.396,8.6481,0.119999997,0.140000001,9.880000114,2.00E-03,-1.00E-03,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.159999996,9.779999733,-1.00E-03,0.00E+00,0.002,0,0,0,0,0,0
47.396,8.6481,0.189999998,0.170000002,9.829999924,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.179999992,0.119999997,9.840000153,0,-1.00E-03,0.002,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.189999998,9.819999695,0.00E+00,0.00E+00,0,0,0,0,0,0,0
47.396,8.6481,0.109999999,0.159999996,9.800000191,0,0.001,0.001,0,0,0,0,0,0
47.396,8.6481,0.189999998,0.189999998,9.849999428,0.001,1.00E-03,0.003,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.189999998,9.840000153,-1.00E-03,-0.002,0,0,0,0,0,0,0
47.396,8.6481,0.119999997,0.179999992,9.800000191,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.059999999,0.159999996,9.869999886,-1.00E-03,0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.179999992,9.840000153,0.00E+00,0,0.003,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.149999991,9.849999428,0,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.189999998,9.829999924,0.00E+00,0.00E+00,0,0,0,0,0,0,0
47.396,8.6481,0.119999997,0.170000002,9.869999886,0.00E+00,0,0.004,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.129999995,9.840000153,0,0,0,0,0,0,0,0,0
47.396,8.6481,0.059999999,0.140000001,9.849999428,-1.00E-03,0,0.004,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.159999996,9.840000153,0,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.119999997,0.140000001,9.829999924,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.079999998,0.179999992,9.840000153,-1.00E-03,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.189999998,9.840000153,1.00E-03,-0.001,0,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.109999999,9.859999657,0,0,0.001,0,0,0,0,0,0.00E+00
47.396,8.6481,0.140000001,0.140000001,9.779999733,0.001,0.00E+00,0.002,0,0,0,0,0,0.00E+00
47.396,8.6481,0.149999991,0.119999997,9.840000153,-1.00E-03,-0.001,0.003,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.149999991,9.800000191,0.00E+00,-0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.170000002,0.199999988,9.859999657,1.00E-03,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.199999988,0.170000002,9.809999466,2.00E-03,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.170000002,9.88999939,0.00E+00,-0.001,0.002,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.189999998,9.880000114,0,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.199999988,9.859999657,-1.00E-03,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.189999998,0.159999996,9.859999657,-0.001,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.239999995,9.849999428,0.00E+00,0.00E+00,0.003,0,0,0,0,0,0
47.396,8.6481,0.089999996,0.219999999,9.819999695,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.209999993,9.869999886,0,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.149999991,0.199999988,9.859999657,0.00E+00,0,0,0,0,0,0,0,0
47.396,8.6481,0.129999995,0.209999993,9.829999924,0.00E+00,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.239999995,9.819999695,0,0,0.002,0,0,1,0,0,0
47.396,8.6481,0.109999999,0.149999991,9.829999924,0,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.179999992,9.880000114,0.00E+00,1.00E-03,0.001,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.159999996,9.809999466,2.00E-03,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.119999997,9.849999428,0,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.099999994,0.170000002,9.849999428,1.00E-03,0,0.001,0,0,0,0,0,0.00E+00
47.396,8.6481,0.119999997,0.149999991,9.789999962,0.00E+00,0.00E+00,0,0,0,0,0,0,0
47.396,8.6481,0.059999999,0.219999999,9.809999466,0.00E+00,0.00E+00,0.002,0,0,0,0,0,0
47.396,8.6481,0.089999996,0.149999991,9.849999428,0.00E+00,0.00E+00,0.001,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.140000001,9.829999924,0.00E+00,-0.001,0.002,0,0,0,0,0,0.00E+00
47.396,8.6481,0.129999995,0.170000002,9.88999939,0,0,0.001,0,0,0,0,0,0
47.396,8.6481,0.159999996,0.129999995,9.880000114,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.109999999,0.170000002,9.869999886,0.00E+00,-0.001,0.001,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.179999992,9.859999657,0.00E+00,0,0.002,0,0,0,0,0,0
47.396,8.6481,0.140000001,0.140000001,9.819999695,0.00E+00,0,0,0,0,0,0,0,0
