0,1,2,3,4
0.0,0.0,1e-07,1e-07,1e-07
1.5350520499763288e-13,2.325398551929591e-17,9.999999995789157e-08,9.898675414444995e-08,9.998032361003713e-12
2.6175220145275314e-10,9.949359543676823e-09,9.999999991768302e-08,7.572390178296704e-08,3.3133963336062225e-12
2.8135053603033397e-10,1.2804161191831992e-08,9.999999987492925e-08,5.586500743272723e-08,1.2284994373541738e-12
2.8971295998818474e-10,1.4197319693524915e-08,9.999999986861261e-08,4.454814142173984e-08,4.571849188424956e-13
3.089768651024583e-10,1.5958783764117317e-08,9.999999986107079e-08,3.75898690328103e-08,1.634507649745413e-13
3.32707819493251e-10,1.8195314069570144e-08,9.99999998806894e-08,3.284896123032829e-08,4.992981977402856e-14
3.5705497500112973e-10,2.075364381196623e-08,9.999999987561772e-08,2.937323137958359e-08,4.913560130143146e-15
3.8046766660941117e-10,2.3491117565856757e-08,9.999999988326217e-08,2.669265282060729e-08,-1.3947339695117859e-14
4.0241846594603435e-10,2.630557064834354e-08,9.99999998730059e-08,2.454880940655776e-08,-2.2735963749748917e-14
4.227965525940201e-10,2.912729565364494e-08,9.999999987849205e-08,2.278695034625437e-08,-2.7571771621836527e-14
4.416535511438462e-10,3.190888140045725e-08,9.99999998750219e-08,2.130811164068586e-08,-3.0788502770866665e-14
4.59098112936919e-10,3.4617929314202815e-08,9.999999985881871e-08,2.0045689125350162e-08,-3.3282477987939724e-14
4.752522470148284e-10,3.7232331463956945e-08,9.999999981737184e-08,1.8953003123537167e-08,-3.5405461248878226e-14
4.902337422153754e-10,3.973724259275214e-08,9.999999981156232e-08,1.799624537228231e-08,-3.7299096672180907e-14
5.041497846949208e-10,4.212309752450817e-08,9.999999982151646e-08,1.715025601891384e-08,-3.902606516302017e-14
5.170953752148905e-10,4.438426746264621e-08,9.999999981067193e-08,1.6395879171635965e-08,-4.0617478708807586e-14
5.291537389564015e-10,4.651811243013404e-08,9.999999981811529e-08,1.5718243687762007e-08,-4.209250719032482e-14
5.403974808692064e-10,4.852428616763004e-08,9.999999982833786e-08,1.5105609286591286e-08,-4.346284446435742e-14
5.508899342369482e-10,5.040420785659464e-08,9.999999981710867e-08,1.454857058365744e-08,-4.473805851499685e-14
5.606864646029318e-10,5.216064884285634e-08,9.999999983740266e-08,1.4039494904079332e-08,-4.592623801982966e-14
5.698356466259508e-10,5.379740229483146e-08,9.999999982380039e-08,1.3572116778194053e-08,-4.7035022312350593e-14
5.783802803435365e-10,5.5319015374239904e-08,9.999999980180495e-08,1.314124010249607e-08,-4.80697344810723e-14
5.863582615341941e-10,5.673057040089823e-08,9.999999982843915e-08,1.2742515716054704e-08,-4.9036602752392104e-14
5.938033120917351e-10,5.8037505656810786e-08,9.999999979283266e-08,1.2372272874611793e-08,-4.99393533663268e-14
6.007455942749873e-10,5.924546900260081e-08,9.999999978750062e-08,1.202738984339007e-08,-5.0781763447410216e-14
6.072122279522218e-10,6.036019906447199e-08,9.999999981099562e-08,1.1705193333048938e-08,-5.156829751171407e-14
6.132277226498906e-10,6.138742977354801e-08,9.999999980013749e-08,1.1403379498236093e-08,-5.230207526230064e-14
6.188143408479721e-10,6.233281474199184e-08,9.999999979008363e-08,1.1119951233820785e-08,-5.2985858189450933e-14
6.239924039341205e-10,6.320186846913621e-08,9.999999983037314e-08,1.0853167976933237e-08,-5.362291358743394e-14
6.287805534742185e-10,6.39999217631831e-08,9.999999983588947e-08,1.0601505139769116e-08,-5.4214484547756125e-14
6.331959664822461e-10,6.47320891038431e-08,9.999999984955534e-08,1.0363621106961967e-08,-5.476418606751636e-14
6.372545440777747e-10,6.540324594120955e-08,9.999999981690965e-08,1.0138330157364169e-08,-5.5273433545700136e-14
6.409710697475117e-10,6.60180141947682e-08,9.999999981579108e-08,9.924580118344909e-09,-5.574392456261873e-14
6.443593441083784e-10,6.658075443658844e-08,9.999999979707175e-08,9.721433804825832e-09,-5.617801456577619e-14
6.474323016147206e-10,6.709556345463134e-08,9.999999980130778e-08,9.528053493197025e-09,-5.657672625142101e-14
6.502021092478707e-10,6.756627607573063e-08,9.999999976546945e-08,9.343687883942455e-09,-5.694221820103765e-14
6.526802528473433e-10,6.79964703055745e-08,9.999999976339141e-08,9.167661092760634e-09,-5.727501192661544e-14
6.548776107233201e-10,6.838947498060737e-08,9.999999974758042e-08,8.99936328736225e-09,-5.757747983089117e-14
6.568045173256607e-10,6.874837926686759e-08,9.999999975656081e-08,8.838242720453411e-09,-5.784942257344777e-14
